date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:03	35614/35614	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Feb%202024%2001:15:14%20GMT	https://seantheme.com/hud/pos_customer_order.html	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/pos_customer_order.html	(from )
22:38:04	50/50	---MCZ	200	added ('OK')	text/plain	etag:W/%2265de8922-1e%22	https://seantheme.com/robots.txt		(from )
22:38:04	295742/295742	---MCZ	200	added ('OK')	text/css	etag:W/%2265e2b5a4-4833e%22	https://seantheme.com/hud/assets/css/vendor.min.css	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/css/vendor.min.css	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:05	49544/49544	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Feb%202024%2001:15:14%20GMT	https://seantheme.com/hud/index.html	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/index.html	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:05	656397/656397	---MCZ	200	added ('OK')	text/css	etag:W/%2265e5ce9a-a040d%22	https://seantheme.com/hud/assets/css/app.min.css	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/css/app.min.css	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:05	77176/77176	---M--	200	added ('OK')	image/jpeg	etag:%2265de8921-12d78%22	https://seantheme.com/hud/assets/img/pos/product-1.jpg	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/img/pos/product-1.jpg	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:06	146079/146079	---M--	200	added ('OK')	image/jpeg	etag:%2265de8921-23a9f%22	https://seantheme.com/hud/assets/img/pos/product-2.jpg	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/img/pos/product-2.jpg	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:06	599457/599457	---M--	200	added ('OK')	image/jpeg	etag:%2265de8921-925a1%22	https://seantheme.com/hud/assets/img/pos/product-3.jpg	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/img/pos/product-3.jpg	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:06	622950/622950	---M--	200	added ('OK')	image/jpeg	etag:%2265de8921-98166%22	https://seantheme.com/hud/assets/img/pos/product-4.jpg	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/img/pos/product-4.jpg	(from https://seantheme.com/hud/pos_customer_order.html)
22:38:07	98842/98842	---M--	200	added ('OK')	image/jpeg	etag:%2265de8921-1821a%22	https://seantheme.com/hud/assets/img/pos/product-17.jpg	C:/Users/lenovo/Downloads/pos%202/seantheme.com/hud/assets/img/pos/product-17.jpg	(from https://seantheme.com/hud/pos_customer_order.html)
